                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0346,                 9.7793,                 1.3836,                 1.1352,                0.66771,                0.52314,                0.59387,                0.43967,                0.28883,                0.19149,                0.18741,                0.07422,                 1.0958,                 5.1412,                 1.1537,                 1.1362,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1477,                 8.7423,                  1.455,                 1.2029,                0.63733,                0.54605,                0.60952,                0.44804,                0.36426,                0.19707,                0.19314,                0.07667,                 1.0843,                 5.1477,                 1.1242,                 1.1331,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1469,                  8.019,                 1.3666,                 1.1896,                0.63671,                0.55947,                0.61028,                0.45118,                0.37292,                0.20113,                0.19843,                 0.0774,                 1.0768,                 5.1535,                 1.1103,                 1.1305,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                  1.073,                 7.1848,                 1.3547,                 1.1803,                0.63562,                0.56103,                0.61952,                0.46158,                0.36775,                0.20638,                0.20553,                0.08023,                 1.0714,                 5.1612,                 1.1015,                 1.1299,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                  1.164,                 6.5827,                 1.4095,                 1.1924,                0.61515,                0.58454,                0.63274,                0.46765,                0.40062,                0.18841,                0.19923,                0.07725,                 1.0648,                 5.1686,                  1.096,                 1.1321,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1025,                 6.0297,                 1.3099,                 1.1868,                0.65688,                0.57053,                0.64255,                0.47586,                 0.3561,                0.20782,                0.20822,                0.07987,                 1.0662,                 5.1749,                  1.097,                 1.1359,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0962,                  5.569,                 1.3169,                 1.1784,                0.64435,                0.60006,                0.64344,                0.48342,                0.39114,                0.20406,                0.20667,                0.07721,                  1.064,                 5.1791,                 1.0902,                 1.1337,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0704,                 5.4422,                  1.289,                 1.1591,                0.70788,                0.58917,                 0.6579,                0.49646,                0.43236,                0.20353,                0.20922,                 0.0783,                 1.0602,                 5.1781,                 1.0685,                 1.1314,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0876,                 5.1469,                 1.2872,                 1.1507,                0.69039,                0.60982,                0.67109,                0.50785,                0.35676,                0.23177,                0.22445,                0.07949,                 1.0587,                 5.1655,                 1.0494,                 1.1284,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0737,                 5.0177,                 1.2632,                 1.1737,                0.74296,                0.59498,                0.67866,                0.51184,                 0.4626,                0.22476,                0.22968,                0.07992,                 1.0553,                 5.1428,                 1.0358,                 1.1249,             8.5634e-05,             8.5634e-05,             8.5634e-05
