                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2062,                 13.225,                 1.4195,                 1.2206,                0.64608,                0.52593,                0.58732,                0.42899,                0.34907,                0.26418,                0.24947,                0.08318,                 1.1018,                 5.1266,                 1.1629,                 1.1419,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1435,                 11.774,                 1.3742,                 1.1831,                0.69388,                0.49429,                0.59522,                0.43985,                0.36003,                0.25353,                 0.2459,                0.08493,                 1.0971,                 5.1235,                 1.1488,                   1.14,             1.6083e-05,             1.6083e-05,             1.6083e-05
                      3,                 1.1601,                 10.234,                 1.3501,                 1.1875,                0.67453,                0.50654,                0.59858,                0.43821,                0.28041,                0.28655,                0.24855,                0.08274,                 1.0949,                 5.1221,                 1.1458,                 1.1363,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      4,                 1.1646,                 8.4547,                 1.4351,                 1.2089,                0.63974,                 0.5392,                0.61186,                0.44377,                 0.3009,                0.23827,                0.23442,                0.07505,                 1.0992,                 5.1209,                 1.1552,                 1.1402,             2.5934e-05,             2.5934e-05,             2.5934e-05
                      5,                 1.1469,                 7.6974,                 1.4403,                 1.1838,                0.69394,                0.52052,                0.61792,                0.44573,                0.29986,                0.20484,                 0.2058,                0.06445,                 1.1069,                 5.1218,                 1.1719,                 1.1468,             2.8032e-05,             2.8032e-05,             2.8032e-05
                      6,                 1.1377,                 6.8762,                 1.4162,                 1.1873,                0.68999,                0.52209,                0.61198,                0.44619,                0.27154,                0.19647,                0.19553,                0.05992,                 1.1076,                 5.1221,                 1.1736,                 1.1467,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      7,                 1.1615,                 6.4019,                 1.4766,                 1.1949,                0.65433,                 0.5179,                0.60736,                0.44443,                0.22821,                 0.1798,                0.16647,                0.05148,                  1.107,                 5.1219,                 1.1754,                 1.1459,             2.6573e-05,             2.6573e-05,             2.6573e-05
                      8,                 1.1629,                 6.2134,                 1.4673,                 1.2008,                0.74397,                0.46551,                0.61176,                0.44497,                0.20903,                0.15338,                0.13993,                0.04227,                 1.1059,                 5.1209,                  1.168,                 1.1451,             2.3016e-05,             2.3016e-05,             2.3016e-05
                      9,                 1.1873,                 5.8813,                 1.4287,                 1.2451,                0.71267,                 0.4896,                 0.6104,                0.44774,                 0.3125,                0.11954,                0.12012,                 0.0362,                 1.1022,                 5.1183,                 1.1492,                 1.1433,             1.7574e-05,             1.7574e-05,             1.7574e-05
                     10,                 1.1484,                  5.759,                 1.3614,                 1.2063,                0.72326,                0.48701,                0.60984,                0.44804,                0.31635,                0.12026,                0.11712,                0.03458,                 1.1005,                 5.1153,                 1.1425,                 1.1423,             1.0247e-05,             1.0247e-05,             1.0247e-05
